Resumo,Chave da item,ID da item,Tipo de item,Status,Chave do projeto,Nome do projeto,Tipo de projeto,Líder do projeto,ID do líder do projeto,Descrição do projeto,Prioridade,Resolução,Responsável,ID do responsável,Relator,ID do relator,Criador,ID do criador,Criado,Atualizado(a),Última visualização,Resolvido,Data limite,Votos,Categorias,Descrição,Ambiente,Seguidores,Seguidores,ID dos seguidores,ID dos seguidores,Estimativa original,Estimativa de trabalho restante,Tempo gasto,Razão Trabalhada,Σ da Estimativa Original,Σ Estimativa de trabalho restante,Σ de Tempo Gasto,Nível de Segurança,Anexo,Anexo,Campo personalizado (Data de início),Campo personalizado (Issue color),Campo personalizado (Objetivos),Campo personalizado (Projeto),Campo personalizado (Rank),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (development),Comentar,Categoria do status,Categoria do status alterada,Pai,Chave pai,Parent summary
 Componente Badge de Urgencia - classificacao Baixa/Media/Alta/Critica,AA-44,10241,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:55 PM,30/mai/26 3:07 PM,,30/mai/26 3:07 PM,,0,,,,Paulo Bessa,Ricardo Camati,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,0|i0007v:,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-30T14:47:10.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",30/mai/26 2:30 PM;712020:6706328e-9b45-40e2-b96e-078d4b8946a7;[https://github.com/ricardocamati/Alimenta-AI/pull/11|https://github.com/ricardocamati/Alimenta-AI/pull/11|smart-link] ,Itens concluídos,30/mai/26 3:07 PM,,,
 Integracao com API - axios e tratamento de erros em todas as telas,AA-46,10243,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:56 PM,04/jun/26 12:30 PM,01/jun/26 1:09 PM,04/jun/26 12:30 PM,,0,,,,Paulo Bessa,Ricardo Camati,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,0|i0007v:i,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-06-04T01:06:09.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}","30/mai/26 3:08 PM;712020:6706328e-9b45-40e2-b96e-078d4b8946a7;

[https://github.com/ricardocamati/Alimenta-AI/pull/12|https://github.com/ricardocamati/Alimenta-AI/pull/12|smart-card]",Itens concluídos,04/jun/26 12:30 PM,,,
" Fluxo de Nova Doação – 3 telas: seleção, câmera/validade, GPS + confirmação",AA-41,10238,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:52 PM,04/jun/26 12:30 PM,29/mai/26 5:42 PM,04/jun/26 12:30 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0007w:,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-30T15:13:58.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,04/jun/26 12:30 PM,,,
 Máquina de Estados AFD – classe DoacaoAFD com validação de transições,AA-37,10234,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:50 PM,30/mai/26 3:07 PM,24/mai/26 8:25 PM,30/mai/26 3:07 PM,,0,,,,Paulo Bessa,Ricardo Camati,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,0|i0007x:,quadro Sprint 2,,,{},30/mai/26 12:58 PM;712020:6706328e-9b45-40e2-b96e-078d4b8946a7;[https://github.com/ricardocamati/Alimenta-AI/pull/10|https://github.com/ricardocamati/Alimenta-AI/pull/10|smart-link] ,Itens concluídos,30/mai/26 3:07 PM,,,
Estrutura base FastAPI + SQLite + SQLAlchemy ORM + migrations com Alembic,AA-39,10236,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:51 PM,24/mai/26 7:37 PM,24/mai/26 7:31 PM,24/mai/26 7:37 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0007z:,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-24T19:37:07.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,24/mai/26 7:37 PM,,,
Estrutura base FastAPI + Docker Compose + Auth JWT,AA-33,10230,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:48 PM,24/mai/26 7:53 PM,24/mai/26 7:37 PM,24/mai/26 7:53 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00083:,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-24T19:56:23.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,24/mai/26 7:53 PM,,,
 Endpoint POST /doacoes – persistência e disparo do motor ML,AA-34,10231,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:49 PM,25/mai/26 6:30 PM,24/mai/26 8:14 PM,25/mai/26 6:30 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00085:,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-25T18:36:08.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,25/mai/26 6:30 PM,,,
revisar frontend,AA-50,10247,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,28/mai/26 4:53 PM,28/mai/26 5:51 PM,28/mai/26 4:53 PM,28/mai/26 5:51 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00085:i,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-28T17:50:57.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,28/mai/26 5:51 PM,,,
Treinamento Random Forest urgência + UrgencyPredictor singleton,AA-35,10232,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:49 PM,25/mai/26 7:19 PM,,25/mai/26 6:31 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00086:,quadro Sprint 2,,,{},,Itens concluídos,25/mai/26 6:31 PM,,,
Treinamento demand_model + Matching automático,AA-36,10233,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:50 PM,25/mai/26 7:19 PM,25/mai/26 6:31 PM,25/mai/26 7:03 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00086:i,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-25T19:13:51.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,25/mai/26 7:03 PM,,,
 Endpoint GET /dashboard – agrégados por perfil (admin/doador/ONG),AA-38,10235,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:51 PM,25/mai/26 8:11 PM,25/mai/26 7:15 PM,25/mai/26 8:11 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00086:r,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-25T20:03:06.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,25/mai/26 8:11 PM,,,
fazer documento e revisão e refatorar,AA-48,10245,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,25/mai/26 9:01 PM,25/mai/26 10:11 PM,25/mai/26 9:01 PM,25/mai/26 10:11 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00086:v,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-25T22:11:03.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,25/mai/26 10:11 PM,,,
Schema SQLite,AA-47,10244,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:57 PM,25/mai/26 10:14 PM,25/mai/26 10:13 PM,25/mai/26 10:13 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00086:x,quadro Sprint 2,,,{},,Itens concluídos,25/mai/26 10:13 PM,,,
modo de test,AA-49,10246,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,26/mai/26 7:01 PM,26/mai/26 8:05 PM,26/mai/26 7:02 PM,26/mai/26 8:05 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00086:y,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-26T20:05:33.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,26/mai/26 8:05 PM,,,
Telas de Login e Cadastro (Doador e ONG) com validação de formulário,AA-40,10237,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:52 PM,28/mai/26 4:06 PM,,28/mai/26 4:06 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00087:,quadro Sprint 2,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-05-28T16:33:39.000-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,28/mai/26 4:06 PM,,,
 Dashboard do Doador – histórico de doações e impacto social,AA-42,10239,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:53 PM,28/mai/26 4:06 PM,28/mai/26 12:52 PM,28/mai/26 4:06 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0008n:,quadro Sprint 2,,,{},,Itens concluídos,28/mai/26 4:06 PM,,,
 Painel da ONG – lista por score de prioridade,AA-43,10240,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:54 PM,28/mai/26 4:06 PM,,28/mai/26 4:06 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0008v:,quadro Sprint 2,,,{},,Itens concluídos,28/mai/26 4:06 PM,,,
 Tela de Alertas e Notificacoes de escassez e alimentos proximos ao vencimento,AA-45,10242,História,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,24/mai/26 4:55 PM,28/mai/26 4:25 PM,,28/mai/26 4:25 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0008z:,quadro Sprint 2,,,{},,Itens concluídos,28/mai/26 4:25 PM,,,
correção e revisão de frontend e beck,AA-52,10281,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,08/jun/26 7:21 PM,12/jun/26 7:33 PM,08/jun/26 7:22 PM,12/jun/26 7:33 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i00097:,quadro Sprint 3,,,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2026-06-12T18:55:17.000-0300"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":4,""name"":""GitHub""}}}}},""isStale"":true}}",,Itens concluídos,12/jun/26 7:33 PM,,,
